Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-09-24,73.955,75.923,73.8238,75.923,50236.121085149
2021-09-27,75.8792,75.8792,73.8238,74.786,46537.665162197
2021-09-28,74.3486,75.0483,73.4739,75.0046,35036.439015395
2021-09-29,74.9608,78.1098,74.1299,77.8473,70880.021734533
2021-09-30,78.1972,79.5967,75.4857,76.6227,139322.60667533
2021-10-01,75.8792,77.3225,75.2233,76.8852,351710.01074787
2021-10-04,76.5354,78.3722,76.098,78.3722,68540.905561933
2021-10-05,78.6345,79.2905,77.8473,78.3722,99952.057488709
2021-10-06,78.3722,79.1594,77.8473,78.9407,87715.713209463
2021-10-07,79.1157,80.0341,77.8473,79.7717,124641.96602413
2021-10-08,79.8591,81.7834,79.7717,80.9962,85740.154682458
2021-10-11,81.3023,81.3023,79.5967,80.6463,84088.139594771
2021-10-12,80.0341,82.0458,79.2032,81.3461,121414.5344722
2021-10-13,81.3461,85.1948,80.5589,85.1948,188502.35271479
2021-10-14,85.7195,85.9383,83.0517,85.151,189554.15470833
2021-10-15,85.151,85.6758,83.8389,84.6261,172849.9384826
2021-10-18,84.8449,85.4134,83.7952,84.4075,143736.74525911
2021-10-19,84.3638,87.2066,84.2326,86.4193,184751.30669216
2021-10-20,86.5505,86.9004,84.8449,85.3259,113921.58853123
2021-10-21,85.7195,86.9878,85.2385,86.7692,221349.44301536
2021-10-22,86.9441,87.2503,85.3696,86.1569,39666.654313064
2021-10-25,86.5942,87.0315,84.4513,84.5387,45015.982060667
2021-10-26,84.1888,86.1131,83.0955,85.9819,85757.303628005
2021-10-27,86.4193,86.4193,84.0576,84.5387,42431.064335228
2021-10-28,84.495,86.9878,84.495,86.5068,53466.982426189
2021-10-29,86.5942,86.9441,84.8449,85.9383,141429.64045153
2021-11-02,86.9441,86.9441,79.6842,80.8213,180968.24930451
2021-11-03,81.0837,83.183,80.8213,83.1393,102645.58520261
2021-11-04,82.3957,83.1393,81.3461,81.3461,66557.344193672
2021-11-05,80.9962,83.0517,80.2965,80.2965,59334.208329309
2021-11-08,80.6901,81.8272,80.1653,80.7339,118951.94589166
2021-11-09,80.2965,83.008,79.8591,83.008,53386.954013637
2021-11-10,81.6522,81.9147,75.923,79.5967,164132.55782958
2021-11-12,79.8154,81.5648,79.2468,81.1275,95782.577194734
2021-11-15,81.7397,84.3638,80.7339,83.008,59965.289525436
2021-11-16,83.9265,83.9265,81.4335,81.5211,56310.277597869
2021-11-17,82.4395,82.7456,81.3898,81.871,30946.987133973
2021-11-18,82.5269,82.5269,80.5589,81.7397,41187.194151558
2021-11-19,82.1771,82.2208,79.5967,80.9088,108648.85940707
2021-11-22,80.9088,82.2208,80.7776,81.9147,33798.285146908
2021-11-23,81.696,81.696,80.4714,80.4714,34626.007585306
2021-11-24,80.2965,80.2965,76.1417,76.2728,66249.806436864
2021-11-25,76.2728,78.6783,76.2728,77.8036,42179.546467206
2021-11-26,77.8473,79.5967,76.6227,79.4218,90400.094819074
2021-11-29,78.3284,79.3343,77.41,78.6345,52295.137813816
2021-11-30,78.5034,79.2032,75.7044,76.8415,126458.61098907
2021-12-01,76.8415,78.4159,76.098,76.9726,93187.370101967
2021-12-02,76.9726,77.0164,75.3545,75.923,67931.546363499
2021-12-03,75.8356,77.1914,75.4419,75.6169,51447.979903799
2021-12-06,75.5731,77.1039,74.6985,76.9726,43055.285953136
2021-12-07,77.7599,77.9348,75.3107,75.7481,239913.74820142
2021-12-08,75.8356,77.41,75.2233,75.267,234004.22156595
2021-12-09,74.786,76.4041,74.786,75.8356,101586.92363085
2021-12-10,76.1855,76.7103,75.2233,75.2233,86945.153922888
2021-12-13,75.2233,76.9726,75.2233,75.6169,87145.224954269
2021-12-14,76.4041,77.235,75.3545,75.3545,151652.69852357
2021-12-15,75.3545,76.1417,73.4302,75.5731,221365.44869787
2021-12-16,76.098,78.3284,74.9171,78.3284,99379.282707442
2021-12-17,78.3722,78.3722,74.4361,74.4361,264932.91649134
2021-12-20,74.3486,76.8852,74.3486,76.8415,82266.921577688
2021-12-21,76.8852,77.2788,75.3107,76.1417,87211.534210383
2021-12-22,76.1417,76.1417,75.0483,75.7044,99148.343574077
2021-12-23,75.3545,76.3604,74.7423,76.2728,42228.706777774
2021-12-27,76.2291,76.7978,75.7044,76.7978,18446.549093304
2021-12-28,76.3167,76.7978,76.098,76.098,51989.886583081
2021-12-29,75.6606,75.6606,73.8238,75.0483,73560.973555035
2021-12-30,74.6985,76.5354,74.3924,75.6169,65633.587660211
2022-01-03,76.4041,76.4041,74.6985,74.6985,45489.292957762
2022-01-04,75.4419,75.7481,74.0862,74.3486,90312.063565267
2022-01-05,74.6109,75.1796,74.3486,74.786,45058.282793016
2022-01-07,74.786,74.8297,71.1123,72.4243,167606.93419738
2022-01-10,72.6429,73.4739,70.4563,70.4563,83452.485346498
2022-01-11,70.8498,71.8994,70.0627,70.4125,192335.71367604
2022-01-12,70.4563,71.7683,69.7565,71.4621,165658.81398325
2022-01-13,71.7245,72.293,70.981,71.2434,140416.70940122
2022-01-14,72.1182,72.1619,70.5437,71.2434,118927.9373679
2022-01-17,71.2434,72.3806,71.2434,72.1182,42998.122801313
2022-01-18,72.3368,72.3368,70.4563,70.8935,59903.553321467
2022-01-19,70.4125,74.3486,70.4125,73.8674,122932.78778462
2022-01-20,74.3049,75.6606,73.1241,74.8734,138496.02749997
2022-01-21,75.1796,75.1796,72.4243,72.5554,108333.31880901
2022-01-24,72.5554,72.5554,68.0071,69.5378,220012.96852574
2022-01-25,69.5378,70.3688,69.1004,69.8876,120010.60746342
2022-01-26,69.4066,71.7683,69.4066,70.5874,67782.922168759
2022-01-27,70.8498,71.7245,69.2317,70.8498,78779.969316481
2022-01-28,71.2872,72.5554,70.6749,71.3309,126873.6154713
2022-01-31,72.2493,72.7742,71.0248,71.7683,110671.29171857
2022-02-01,71.987,72.1619,70.8498,71.156,52898.780697068
2022-02-02,70.9373,71.2872,70.1501,71.1997,85666.985848124
2022-02-03,71.1997,71.5496,70.1938,70.3251,68550.051666224
2022-02-04,70.5437,70.8498,68.9255,68.9255,118123.08019023
2022-02-07,69.7128,70.6749,69.2317,70.6311,83599.966278202
2022-02-08,70.4999,70.5874,68.9692,69.1879,138043.29533753
2022-02-09,69.8876,71.156,69.7128,70.6749,195871.82624782
2022-02-10,70.6749,71.156,69.2754,69.5378,85588.100698608
2022-02-11,69.5378,70.1501,68.4008,69.5378,47647.773570601
2022-02-14,68.9255,70.1501,68.5756,69.9752,147990.82701778
2022-02-15,70.4125,70.4125,69.1004,69.5378,106522.39015925
2022-02-16,69.9314,69.9314,68.6631,69.1879,87898.635295297
2022-02-17,69.494,69.8439,69.1004,69.7128,88913.852871674
2022-02-18,69.5378,71.4621,69.3191,69.8876,147495.79412299
2022-02-21,70.8498,70.8498,68.5756,68.5756,65577.567771425
2022-02-22,68.182,68.7507,66.4764,68.2257,62034.595621431
2022-02-23,68.6631,68.7068,66.9575,67.3511,110539.81646938
2022-02-24,65.4268,65.6017,61.3595,62.4528,326911.49222399
2022-02-25,63.8523,66.0391,61.2283,65.4268,169365.27274746
2022-02-28,64.2896,65.5142,63.4586,64.727,166884.39195834
2022-03-01,65.5142,65.558,63.415,63.9836,115157.45587365
2022-03-02,63.3275,64.2896,62.4091,64.2896,81253.990527383
2022-03-03,63.9836,65.4268,62.3216,64.2896,125778.36948237
2022-03-04,65.1205,65.6017,62.1029,63.0214,100691.7486733
2022-03-07,62.9776,64.2896,61.7968,62.584,140789.41315111
2022-03-08,62.5403,63.9836,61.5343,61.7094,55277.911075944
2022-03-09,62.9776,66.695,62.3216,66.4327,104232.43429722
2022-03-10,66.4327,66.4327,63.5024,64.2459,56944.788583105
2022-03-11,64.3772,67.6572,64.3772,66.9575,90541.859435595
2022-03-14,67.8321,67.8321,64.3772,64.5521,64864.171636673
2022-03-15,64.5521,66.87,63.9836,65.7329,59111.272037199
2022-03-16,67.4822,67.6135,64.9894,65.7766,81005.902448471
2022-03-17,66.0391,68.8818,64.9457,68.5319,129117.84081188
2022-03-18,68.6631,69.8439,67.2636,67.8758,216666.63761801
2022-03-21,67.7885,70.4999,67.7885,68.7944,130654.38633288
2022-03-22,68.838,69.9314,68.7944,68.838,74299.521476589
2022-03-23,69.2754,69.8439,66.8263,67.2636,57199.736240236
2022-03-24,69.1879,73.2115,69.1879,72.0307,191202.74000691
2022-03-25,72.4681,72.7742,69.5815,70.4999,101592.63994603
2022-03-28,70.5437,71.6371,70.0627,70.1501,51386.24369983
2022-03-29,70.981,71.156,68.8818,70.1064,121302.49469463
2022-03-30,70.0627,71.0248,69.3629,70.7187,63893.541318717
2022-03-31,69.9752,71.2434,69.494,70.5437,133184.42743257
